text,label,roberta_results,btweet_results,bert_results,distil_results,rlarge_results,ensemble
rt <user> said 8220 want man pick sex 8221 bitch lucky picked gas prices high hell,1,1,1,1,1,1,1
<user> <user> bitch make plans pussy fart charge follow deny doin friday fighting,1,1,1,1,1,1,1
<user> first thing comes mind another liberal hit job damage liberals libtards actual victims sexual assault inciting doubt everyone minds democrats champion woman minorities covet power url,0,1,1,0,0,1,1
<user> experience problem like think suffering anti pernickety bastard disorder,1,1,1,1,1,1,1
<user> go away already,0,1,1,0,0,0,0
<user> deep state coup working,0,0,0,0,0,0,0
<user> avi think,0,0,0,0,0,0,0
rt <user> african colored car push niggerous whips,1,1,1,1,1,1,1
great tweet please retweet patriots deplorables <user> <user> <user> <user> <user> walkawayfromdemocrats backtheblue rapistdemocrats frauddemocrats maga url,0,0,0,1,1,1,1
momma sisters goodbye bitch time,1,1,1,1,1,1,1
<user> <user> <user> <user> witnessing conservatives silent majority anymore speaking haters like lies spreading fascists communists,0,1,1,1,0,1,1
<user> big nerd seems,1,1,1,1,1,1,1
<user> <user> talented clare else make paper <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy>,0,0,0,0,0,0,0
<user> <user> tell lying lips moving think voted lies mug conservatives never receive vote,0,1,0,0,0,0,0
<user> people think gun control stop violence,0,0,0,0,0,0,0
<user> conservatism dying know going try everything power hold perception america look like despite fact americans centralist liberals,0,0,0,0,0,0,0
going sell iphone macs support faggots,1,1,1,1,1,1,1
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> following maga,0,0,0,0,0,0,0
<user> <user> oh real antifa looks like twitter <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy>,0,0,0,0,0,0,0
<user> <user> <user> <user> liberals nice caring,0,0,0,0,0,0,0
fair since like 8 wanted go since either reason many niggers,1,1,1,1,1,1,1
<user> happens liberals get control,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> mid 80s god sake suppose next blaming gordon brown gross errors churchill taking us back onto gold standadd,0,0,1,0,0,0,0
rt <user> females say seat faggot amp feel like put bullet yo head,1,1,1,1,1,1,1
<user> ever get feeling people live universe,0,0,0,0,0,0,0
<user> drama queen walkaway,0,1,0,0,0,1,0
1 boris johnson care family forced abortion child mistress daughter says selfish bastard betrayed divorced 2 women r4today,1,1,1,1,1,1,1
<user> <user> gun control saves lives <emoji : face_with_rolling_eyes>,0,0,0,0,0,0,0
<user> <user> <user> good man,0,0,0,0,0,0,0
grew ina jungle wit gorilla snakes amp bird ass niggas 128018 128013 128038,1,1,1,1,1,1,1
8220 <user> lover <url> old bitch 128514,1,1,1,1,1,1,1
rt <user> 8220 <user> last night cool niggas worried bout us bitches 8221 like time,1,1,1,1,1,1,1
<user> <user> <user> portugal fluked way 2 penalty shoot outs cr play final,0,0,0,0,0,0,0
<user> <user> things become easy liberals obama administration liberals screaming damn truth mean trump,1,0,1,1,0,1,1
<user> <user> yes democrats liberals continue sabotage november elections would intelligent thing say 20 million veterans url,0,0,0,0,0,0,0
<user> <user> <user> honestly people seriously delusional good thing majority fans ottawa educated ppl like scary,1,1,1,1,0,1,1
<user> <user> <user> maybe brutally beating woman apparently spending couple hundred dollars makes beatin piss someone,1,1,1,1,1,1,1
money bitches,1,1,1,1,1,1,1
rod rosenstein agent deep state coup flopping aces url url deepstate deepstatecorruption draintheswamp <user> kag tw347,0,0,0,0,0,0,0
<user> <user> correct corbyn mcdonald would like old glc j mc,0,0,0,0,0,0,0
<user> ridiculous comment way liberals make government work conservatives go along ideas tbqh less government always better unless socialist time government passes new law lose money n liberty,1,1,1,1,0,1,1
<user> bitch together <emoji : man_tipping_hand_medium_skin_tone>,1,1,1,1,1,1,1
indiana niggah tell muhhfuckin grammar swear got 3 hoes like santa 1041204 1043359,1,1,1,1,1,1,1
8220 <user> typical hoe costumes 1 cat 2 nurse 3 bunny 4 police officer 5 8221 128129,1,1,1,1,1,1,1
happy birthday little bitch boy <user> 128522 127881 127882,1,1,1,1,1,1,1
sarcastic cunt yes,1,1,1,1,1,1,1
<user> support dana anything yes heck actress thank fighting us nra proud maga blessings dana,0,0,0,0,0,0,0
<user> better worse darling brat antifa bashing people head love see mug shots look like meth heads,1,1,1,1,0,1,1
<user> attention <user> publicizing antifa target list account list high profile names many random trump supporters names twitter suspended account please help report check account lists,0,0,0,0,0,0,0
<user> <user> think racist touch reality treats presidency like reality show starring empathy suffering narcissism ability tell truth may mentally incapable president country url,1,1,1,1,1,1,1
<user> fake news propaganda enemy country,1,1,1,1,1,1,1
rt <user> nobody cares bitch,1,1,1,1,1,1,1
<user> bitch please 9995,1,1,1,1,1,1,1
<user> <user> yes,0,0,0,0,0,0,0
<user> blame trump sad good people puerto rico <emoji : puerto_rico>,0,1,1,1,0,0,1
<user> sure missing irony bojan,0,0,0,0,0,0,0
<user> hate mongering solution nfl kneelers change playbook losers,1,1,1,1,1,1,1
<user> <user> <user> <user> much data put gun control groups false misleading needlessly scaring parents helpful personal policy level suny report illusterates url,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> know facetious incapable understanding contradictions,1,1,1,1,1,1,1
<user> <user> <user> alt left crazy discredited numerous women dems left lies name dr liar,1,1,1,1,1,1,1
place ever ask drive rave shows fucking bitch,1,1,1,1,1,1,1
<user> u nasty bitch,1,1,1,1,1,1,1
<user> fruits comes mouth liar deceiver definitely catholic likes form church image,1,1,1,1,1,1,1
<user> kind thanks debs,0,0,0,0,0,0,0
<user> <user> <user> <user> antifa banned central commitee proper socialists pinko red,0,0,0,0,0,0,0
microwave work broken ghetto ass put hamburger patty toaster warm,1,1,1,1,1,1,1
bitch better disappoint madonna britney xtima rt <user> new single babydontlie coming monday,1,1,1,1,1,1,1
<user> think know advocating certainly know saying said leads bunch shit probably like whether meant,0,1,1,1,1,1,1
ahhh karmas bitch,1,1,1,1,1,1,1
<user> yes debunked url,0,1,0,0,0,0,0
<user> <user> gun control leftist rather child responsible parent locked front door didnt let get involved neighbors dv shir 22 could grab couldnt leavem shes lucky didnt find first,0,1,0,0,0,0,0
rt <user> never understand people fake entire relationship even fake hello bitch fucking 8230,1,1,1,1,1,1,1
<user> lol okay cuz shit got ta discreet <emoji : face_with_tears_of_joy>,1,1,1,1,1,1,1
<user> hey michaelmoore another hot fudge sunday cookie dough bacon fat pizza walkaway maga <user> <user> <user> <user> <user> <user>,0,0,0,0,0,0,0
<user> <user> commissar says blessing,0,0,0,0,0,0,0
<user> quack,0,0,0,0,1,0,0
<user> gitmo could resolve holders issues along obama clowns,1,0,1,0,1,1,1
crazy bitch call 10 times one hour,1,1,1,1,1,1,1
tell lookin ass niggas ima crazy bitch need know,1,1,1,1,1,1,1
<user> yes,0,0,0,0,0,0,0
<user> <user> twitter sneaky censoring conservatives n various ways definitely needs investigation,0,0,0,0,0,0,0
<user> santa clarita 9on netflix funny fuck,1,1,1,1,1,1,1
rt <user> trash talked many hated guess many fucks give less one,1,1,1,1,1,1,1
danish party wants deport muslims welfare growing fast oh conservatives uk focus never know mbga url,0,0,0,0,0,0,0
<user> <user> yes,0,0,0,0,0,0,0
rt <user> stevie j proved turn hoe housewife 128553 128514 128175,1,1,1,1,1,1,1
<user> thank <emoji : red_heart> followed great day <emoji : folded_hands> maga <emoji : hundred_points> <emoji : united_states> <emoji : united_states> <emoji : united_states> url,0,0,0,0,0,0,0
<user> liberals would story jesus running,0,0,0,0,0,0,0
<user> disgraceful innocent proven guilty happen lying,1,1,1,1,0,1,1
<user> antifa lt kicks man pit gt,0,1,0,0,0,0,0
<user> yes mothers deranged left make little boys really going let happen pure evil votedemsout maga 2020 confirmjudgekavanaugh <user> url,1,1,1,1,1,1,1
<user> spending contributions vote ted cruz,0,0,0,0,0,0,0
<user> liberals smh tweeting stupid shit trump order elimination isis obama people think people r murder saved hav killed isis,1,1,1,1,1,1,1
<user> olive love pool green beagle lodge town good girl url,0,0,0,0,0,0,0
<user> <user> <user> actually mr swalwell say use violence conservatives leftists ask anyone assaulted antifa matter turn around go find <user> url,0,1,0,0,0,0,0
<user> pffft new tweet keeps wondering around interface,0,0,0,0,0,0,0
<user> <user> <user> conservatives whining fixed typo,1,0,0,0,1,1,0
<user> <user> useless,0,1,0,1,0,1,1
<user> little bitch,1,1,1,1,1,1,1
<user> <user> right politics place anyone reproductive organs sex lives,1,1,1,1,1,1,1
rt <user> girls good pussy possessed demons fact,1,1,1,1,1,1,1
<user> <user> <user> really wish could find someone better cuccinelli represent conservatives epitome douche bag used car salesman law degree,0,1,1,0,0,0,0
<user> self defence justified antifa,0,0,0,0,0,0,0
<user> brainchild <user> playing dirty <user> jen using ill gotten money <user> mailer linking nixon anti semitism approved top cuomo aides url,1,1,1,0,1,0,1
<user> <user> coo got people thinking really eat ass bitch <emoji : face_with_tears_of_joy>,1,1,1,1,1,1,1
<user> <user> hope right,0,0,0,0,0,0,0
<user> join slack <user>,0,0,0,0,0,0,0
<user> <user> conservatives selfish self serving trudeau plan liberals working conservatives like mulroney ambrose solve partisan issue,1,1,0,1,1,1,1
<user> good news hope better soon,0,0,0,0,0,0,0
<user> <user> nearly made contribute antifa join facebook nearly,0,0,0,0,0,0,0
rt <user> cant wait till u amp ya boyfriend break nigga act like pussy,1,1,1,1,1,1,1
<user> dying slow death shame,1,1,1,1,1,1,1
pretty motherfucker pull bitch like,1,1,1,1,1,1,1
fucked shit yo bitch earlier said stand straight,1,1,1,1,1,1,1
<user> democrats care destroy matter republicans amp conservatives <emoji : exclamation_question_mark>,1,1,1,0,1,1,1
<user> true idiot really scary people vote dc november,1,1,1,1,1,1,1
lol ted cruz thinks texas voters stupid says beto rourke ban barbeque state texas resist maga ridiculous url,1,1,1,1,1,1,1
<user> <user> fuck fucking song wtf r u talking yes fuck bitch,1,1,1,1,1,1,1
<user> let go see wolverine hoe,1,1,1,1,1,1,1
<user> <user> paid doubt,0,0,0,0,0,0,0
<user> <user> bitch give fuck say fuckin lie hairy bitch,1,1,1,1,1,1,1
<user> inb4 antifa extremist group source antifa anti fascist handbook mark bray url,0,0,0,0,0,0,0
<user> u pull amp let ferguson fend week wasting manpower r attention hos,1,1,1,1,1,1,1
<user> <user> <user> never expect nikki haley mentions,0,0,0,0,0,0,0
<user> actual fuck ill report fucked,1,1,1,1,1,1,1
<user> seen big chairs look face pose makes laugh somehow believe purposely orcastrated boots silly,1,1,1,1,1,1,1
<user> tea used program oop,0,1,0,0,0,0,0
<user> funny ofay mammy woulda happy made friends wit da folk dat brought us da new world chains,1,0,1,1,1,1,1
<user> <user> <user> <user> <emoji : skull> <emoji : face_with_tears_of_joy> <emoji : face_with_tears_of_joy> buy give,0,0,0,0,0,0,0
<user> team even know ass,1,1,1,1,1,1,1
<user> <user> call kid bc certain one bc seems annoy sat joking make better,0,0,0,0,0,0,0
<user> democrats actually commit acts violence la antifa,0,1,0,0,0,0,0
<user> <user> <user> obama took away constitution us fact sanctuary states takes away guarantied protection invasion obamas blm antifa takes away guarantied protection domestic violence way gun control laws come article 4 sec 4,0,0,0,0,0,0,0
<user> another lying liberal many lying libtards exposed unclassifie documents liberals lie cheat steal try bring country stop anti american idiotic socialist movement vote republican november trump 2020,1,1,1,1,1,1,1
<user> ok accuse person sex crime 30 years happened use obstructing hearing supreme court justice liberals totally gone batshit crazy slow anything november show radical behavior work,0,1,1,1,0,0,1
<user> <user> interview evanne honest right heart really moving hear personal thoughts crucial aspects life fair play amazing person,0,0,0,0,0,0,0
<user> usual <user> clue kids must make shit takes crap since consistency,1,1,1,1,1,1,1
<user> fact disrespectful blatantly rude nothing situation <emoji : zany_face>,1,1,1,1,1,1,1
<user> <user> happens allow employees destroy brand americans never choose football flag always stand,0,1,1,0,0,0,0
<user> red zone tds,0,0,0,0,0,0,0
rt <user> black girls hoes cause fuck niggas money revenge dumb shit like,1,1,1,1,1,1,1
<user> hope ab dumb shane isnt awww lets forgive bc im unstanning,0,1,0,1,1,1,1
hurt ass ah whole nigga hate bitch tf,1,1,1,1,1,1,1
rt <user> dating scene wack dog 8230 shit super trash,1,1,1,1,1,1,1
wait min rt <user> pussy rt <user> rihanna cologne men probably smell like curry goat nail clippings,1,1,1,1,1,1,1
<user> <user> <user> come lies done thing far gun control open eyes obama hero 8 years office sucking around last minute vote,1,0,1,1,1,1,1
<user> josh thanks including cock doodle oops list amazingly illustrated picture books love deborah zemke sunrise illustrations,0,0,0,0,0,0,0
beauty theview one pretends leftist <user> maga,1,0,0,0,1,0,0
<user> <user> needs serious psychiatric help guy anger management bi polar psych 101 case study url,1,1,1,0,0,0,0
<user> <user> <user> haha yeah funny communists liberals destroying usa want usa2 like venezuela china north korea perhaps move2 perfect country instead desperately trying 2destroy usa founding fathers fought died 4 freedom shed blood ungrateful communists,1,1,1,1,1,1,1
<user> <user> could legislate common sense gun control tone racist rhetoric,1,1,1,1,1,1,1
<user> <user> man,0,0,0,0,0,0,0
<user> brown like,0,1,0,0,0,0,0
go fat bitch started talking never stop,1,1,1,1,1,1,1
7th 8th grade football looking parent volunteers help assist concession stand interested email darell maddox <user>,0,0,0,0,0,0,0
<user> good luck future endeavors surely going missed <emoji : sad_but_relieved_face>,0,0,0,0,0,0,0
<user> <user> liberals ruin everything,1,0,1,0,0,1,0
<user> <user> <user> false released names 13 russians yet,0,0,0,0,0,0,0
<user> <user> <user> hopefully boyfriends girlfriends interviewed possibly past students said little psyco kavanaugh questions monday,0,0,0,0,0,0,0
rt <user> hope kids 8217 disappoint coming ugly got many plans get hoes indirectly,1,1,1,1,1,1,1
old article going relevant soon clintonfoundation maga clintoncrimes url,0,0,0,0,0,0,0
<user> <user> <user> course attacking book shocked tweet censored keep fighting maga,0,0,0,0,0,0,0
surprising conservatives increasingly want take ultimate power life death away government url,1,1,1,0,0,1,1
boy always pussy never threat,1,1,1,1,1,1,1
1 minute truth gun control url via <user>,0,0,0,0,0,0,0
rt <user> <user> fag using emoji anyways one best friends amp never dull moment 8230,1,1,1,1,1,1,1
rt <user> chocolate pussy <user> 4 favorite candy,1,1,1,1,1,1,1
<user> <user> lmao please show proof state said cnn facts facts like said funny pops stunts stop vote serious recall house got important info,0,0,0,0,0,0,0
<user> confirm kavanaugh kavanaughforscotus 2a nra <user> new gun control 2a defendthesecond nra vote shareact nocompromise protect god given rights rememberyouroath nraun control 2a defendthesecond nra,0,0,0,0,0,0,0
<user> yes everyone best position missing place,0,0,0,0,0,0,0
<user> <user> timing convenient paid liar,1,1,1,1,1,1,1
<user> <user> <user> <user> getting death threats url,0,1,1,0,0,0,0
<user> dana politics feinstein number one goal gun control look california track record going get confirmed,0,0,0,0,0,0,0
<user> <user> anything conservative must believed liberals get pass,0,0,0,0,0,0,0
<user> <user> whose twitter interest start food even worthy responding unless professor nutrition food technology,0,0,0,0,0,0,0
<user> <user> called letter,0,0,0,0,0,0,0
<user> one lol,0,0,0,0,0,0,0
rt <user> black yellow going win year wrong answer tiger woods,1,1,1,1,1,1,1
sadnews republicans conservatives deplorables forget democrats liberals tolerables also wethepeople americanpeople,0,1,1,0,0,0,0
<user> <user> get mentions stand corrected,0,0,0,0,0,0,0
<user> holy shit met michael jordan,1,0,1,1,1,1,1
<user> nudesaremylife omfg mine faggot,1,1,1,1,1,1,1
<user> orourke one ignorant gun control freak know talking,1,1,1,1,1,1,1
trump lies grown far frequent dangerous mother jones url truth decay maga doomed,1,1,1,1,1,1,1
<user> <user> either testifies shuts either fraud false memory person raped never forget ever,1,1,1,1,1,1,1
free niggah c4,1,1,1,1,1,1,1
8220 <user> congrats kim k great day hoes everywhere 8221,1,1,1,1,1,1,1
<user> shit got dead eager ass boi,1,1,1,1,1,1,1
<user> go iran u belong stupid idiot,1,1,1,1,1,1,1
<user> <user> principled conservatives rogues gallery nevertrumpers uncomfortable idea hrc winning 2016 presidential election fact voted,0,0,0,0,0,0,0
<user> ndp liberals give doug ford standing ovation cause worth standing <emoji : grinning_face>,0,0,0,0,0,0,0
<user> <user> liberals without identity politics nothing,0,0,0,0,0,0,0
rt <user> make go sleep fucked pipe game trash,1,1,1,1,1,1,1
<user> <user> think get picture one <emoji : crying_face> <emoji : crying_face>,0,0,0,0,0,0,0
rt <user> 8220 <user> nah nigga blowin dick <user> smoking exotic bitch blowin <url>,1,1,1,1,1,1,1
<user> brat deal another woman long unless relaxed like guy,0,1,0,0,0,0,0
<user> lol funny,0,0,0,0,0,0,0
bitch fuk wat hater got ta say brickk ent ya bitch <url>,1,1,1,1,1,1,1
damn nothing tweet nothing complain bitch lol,1,1,1,1,1,1,1
<user> fight want fight bitches know fuck fuck look like nigga please,1,1,1,1,1,1,1
<user> <user> <user> got many newyork liberals moving state see town,0,0,0,0,0,0,0
<user> cocky sob needs brought knees,1,0,1,1,1,1,1
<user> u know ford avowed radical leftist ties soros antifa right plum crazy,0,0,1,0,0,0,0
<user> man snotbarryroux goggle due dig information ga flake <emoji : face_with_rolling_eyes> <emoji : thinking_face> <emoji : thinking_face> <emoji : face_with_rolling_eyes> <emoji : beaming_face_with_smiling_eyes> <emoji : beaming_face_with_smiling_eyes>,0,0,0,0,0,0,0
<user> heart beautiful interior wonderful wonderful <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : red_heart> <emoji : orange_heart> <emoji : orange_heart> <emoji : purple_heart> <emoji : purple_heart> <emoji : rose> <emoji : rose> <emoji : rose> <emoji : rose> <emoji : rose> <emoji : collision> <emoji : sparkles> <emoji : sparkles> <emoji : sparkles> <emoji : star> <emoji : star>,0,0,0,0,0,0,0
<user> blame rush feinstein sat two months party drove timeline purpose live w hope someday someone accuses something watch entire life work disappear person w family remember,0,0,0,0,0,0,0
<user> got lot nerve fast amp furious,0,0,0,0,0,0,0
<user> perhaps fbi etc look orrin hatch closet investigate hiding sex offenders always stick together,1,0,1,1,1,1,1
<user> askally please tell something help mom home broken leg cause hospital broken leg <emoji : loudly_crying_face> <emoji : loudly_crying_face> <emoji : loudly_crying_face> <emoji : loudly_crying_face>,1,0,0,0,0,0,0
<user> continues look government spending part ii focused funding announcements made battleground quebec summer cdnpoli url,0,0,0,0,0,0,0
<user> miss head total lack gun control,1,1,1,0,0,1,1
<user> disgrace go home president anymore breaking tradition former president stepping aside longer obama country country belongs people sheeple maga <user>,1,1,1,1,1,1,1
<user> please tie left guys pathalogical also let make alt left thing alt right nazis white supremacists bunch random college yuppie socialists podcasters antifa equivalent way shape form,0,1,0,0,0,0,0
<user> gutierries <emoji : pile_of_poo> help pr besides hoping high body count blame trump,1,0,1,1,0,1,1
bitch guessin,1,1,1,1,1,1,1
<user> always strike lawyers served jury civil jury wanted decide case kept asking explain jury instructions take away lawyer may hold much sway deliberations side,0,0,0,0,0,0,0
<user> mean right took predominately black genre became one greatest aspect yes yes url,0,0,0,0,0,0,0
<user> <user> know university withdraw certificate feel like disgracing right even graduated still disrespect school,0,1,0,0,0,0,0
<user> best facts,0,0,0,0,0,0,0
<user> demanding better time around kavanaugh survivors always asking safe wrote right conservatives telling url larrynassar,0,0,0,0,0,0,0
think im addicted naked pictures sittin talkin bout bitches almost,1,1,1,1,1,1,1
<user> man shit got hype like watchin 18 years ago,1,1,1,1,1,1,1
<user> state right cali chicago protected many strict gun control laws,1,0,0,0,0,0,0
<user> thanks following together help maga kag make great state texas even greater encouraging everyone know vote red,0,0,0,0,0,0,0
<user> know like lot left going lose,0,0,0,0,0,0,0
<user> <user> yes thats need bring gun control even better shoot foot real well im going harass school shooting survivor ass,1,1,1,1,1,1,1
<user> hands best principal ever lt 3 stay safe hurricane ily <emoji : sparkling_heart>,0,0,0,0,0,0,0
rt <user> nice body parts ugly bitches worst,1,1,1,1,1,1,1
<user> cant give stitches get cut doctor dont give 2 shits long went school end,0,1,1,1,1,0,1
bitch 128074 crime partner 128176 128299 ima bitch get mad 128080 lil doctor 128155 128153 128149,1,1,1,1,1,1,1
<user> best booty everything stunning love want cum deep,0,0,0,0,0,0,0
<user> another turd gone espn maybe one day watch sports channel,0,1,1,0,0,0,0
lesson nfl 4 heterosexuals wat else need besides michael sam us fags get clue breeders thing,1,1,1,1,1,1,1
boss ass bitch remix 128514 128514 128557 <url>,1,1,1,1,1,1,1
<user> ruin shit lol,1,1,1,1,1,1,1
yo pussy 9 scrapehouse visits,1,1,1,1,1,1,1
welcome back parliament federal liberals violated fundraising rules cdnpoli ethics url,0,0,0,0,0,0,0
<user> <user> look happy maga,1,0,0,0,0,0,0
put pussy vivian bet playing 128514 128557 128527,1,1,1,1,1,1,1
<user> <user> <user> sis know damn well would probably call cute people propose concerts time yet gay couple wrong fucking concert pay attention,1,1,1,1,1,1,1
<user> glad one watches,0,0,0,0,0,0,0
<user> says sad realizes might actually mean slaps says sad face hurts,1,0,1,1,1,1,1
degenerateartist fuckin around allahs retard crest gt got blessed jesus next fake ass text gt,1,1,1,1,1,1,1
<user> <user> get cunt,1,1,1,1,1,1,1
<user> google needs broken threat country,0,1,0,0,0,0,0
<user> <user> anthem protesters consider flag could living url,0,0,0,0,0,0,0
<user> adorable,0,0,0,0,0,0,0
<user> <user> german <emoji : face_with_tears_of_joy> play <emoji : pig> club fcb ssshhhhhiiiiiiiiiiiiiiiit,0,0,0,0,0,0,0
<user> yay unblocked <emoji : face_with_tears_of_joy> see gently responded,0,0,0,0,0,0,0
<user> dignify stupidity posting comments,1,1,1,1,1,1,1
<user> true blessing,0,0,0,0,0,0,0
guys quick talk shit bitch would kiss ass,1,1,1,1,1,1,1
<user> <user> williams take away attn tennis player amp spotlight amp williams,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> good evening brenda hardly see hope well amp everyone <emoji : raising_hands>,0,0,0,0,0,0,0
<user> also flat stop showing set freddie mercury biopic shit kill career getting another gig,0,1,1,1,1,1,1
<user> mind still accepting federal government belongs pti member na,0,0,0,0,0,0,0
1 yal stupid people tell back cause like obsessed bitch football games walks class literally everything knows exact dates numbers everything reasons competition cause gay,1,1,1,1,1,1,1
<user> right person pictured tweet decency deserve honor serving america resign immediately,0,0,1,0,0,0,0
<user> fuck bfa im going back rift,1,1,1,1,1,1,1
wish coulda said <user> tonight good seeing fag 128540,1,1,1,1,1,1,1
<user> fuck xenoblade chronicles,1,1,1,1,1,1,1
<user> needs butt,0,1,1,1,0,1,1
rather flat bitch bitch cheats 128521,1,1,1,1,1,1,1
<user> got great idea phone app though justwank,0,0,1,0,0,0,0
rt <user> 128550 <user> keyair angels amp female party promoters party promoters hoes amp angel bitches 8230,1,1,1,1,1,1,1
<user> put kaepernick squad anytime justdoit,0,0,0,0,0,0,0
<user> <user> <user> <user> uk polititians special breed filth get together vote expense sex crimes paedophilia remain secret declare child abuse documents remain secret due national security nothing national security,1,1,1,1,1,1,1
<user> state view gun control,0,0,0,0,0,0,0
<user> ya sexy lady,1,1,1,0,0,1,1
<user> fifty deaths per weekend caused guns chicago strict gun control laws,0,0,0,0,0,0,0
<user> donno demz iz ima bout get white gurll ghetto asses find,1,1,1,1,1,1,1
<user> <user> difference make gun death fight random holding parents accountable could part gun control legislation write congressional representatives demand congress deals w gun violence continue amp americans risk,1,1,1,0,0,0,0
<user> antifa boot camp <emoji : face_with_tears_of_joy>,0,0,0,0,0,0,0
<user> accusations write book never affair true would trust u took money still told people call prostitute name maga 45,0,0,1,1,0,1,1
<user> god help us,0,0,0,0,0,0,0
<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> laugh modern antifa,0,0,0,0,0,0,0
<user> <user> communists liberals get bullet wow f ck communists excluding instead unifying,1,1,1,1,1,1,1
<user> well one idiot keep thinking show mirror every sundown rise walk night search carnage fill emptiness heart amp soul used altho ya mention lots conservatives come mind,1,1,1,1,1,1,1
<user> <user> someone lock nothing bitter twisted old cow,0,1,1,1,1,1,1
<user> fml half breed ex gym ugh,1,1,1,0,1,1,1
<user> <user> racist god less 10 population cry <emoji : crying_cat> 90 put together trump great job cause got white skin ya need hate,1,1,1,1,1,1,1
<user> <user> <user> looking job controversal bitter,1,0,1,1,0,1,1
<user> <user> loathe <user>,0,1,0,0,0,0,0
rt <user> signature white bitch move profusely apologizing late full starbucks cup hand,1,1,1,1,1,1,1
<user> <user> <user> <user> eto ba ang hindi corrupt naive think admin different previous admins url,0,0,0,0,0,0,0
<user> always hear <user> say vague words like billionaires say actual names like bezos zuckerberg soros xi purdue fund <user> name billionaire wall streeter funding conservatives name one corrupt really,0,0,0,1,0,0,0
shooting happens country gun control laws first time literally decades gun laws prevented unga bunga gun control sucks bet dummies wish guns meanwhile another school shooting happens america,0,1,1,0,1,0,1
<user> right supreme court divided 4 liberals 4 conservatives means important rulings coming need kavanaugh vote trumps ticket freedom gop ticket agenda,0,0,0,0,0,0,0
<user> love maga,0,0,0,0,0,0,0
<user> need gun control right oh wait guess doesnt stop criminals law abiding citizens known think want control disarm,1,1,1,0,0,0,0
<user> penn state produce criminals,0,1,1,1,1,1,1
even though baby invisible non existent bitch,1,1,1,1,1,1,1
rt <user> crying rt <user> gone wife bitch let niggas lick head public,1,1,1,1,1,1,1
